"input","output","section_texts"
"IT IS OBLIGATORY
FOR a local authority in England
TO have regard to the following matters in particular—
(a) the views, wishes and feelings of the child and his or her parent, or the young person;
(b) the importance of the child and his or her parent, or the young person, participating as fully as possible in decisions relating to the exercise of the function concerned;
(c) the importance of the child and his or her parent, or the young person, being provided with the information and support necessary to enable participation in those decisions;
(d) the need to support the child and his or her parent, or the young person, in order to facilitate the development of the child or young person and to help him or her achieve the best possible educational and other outcomes.
WHEN/IF/WHERE exercising a function under this Part in the case of a child or young person","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/19"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a local authority in England"",
  ""to"": ""have regard to the following matters in particular— (a) the views, wishes and feelings of the child and his or her parent, or the young person; (b) the importance of the child and his or her parent, or the young person, participating as fully as possible in decisions relating to the exercise of the function concerned; (c) the importance of the child and his or her parent, or the young person, being provided with the information and support necessary to enable participation in those decisions; (d) the need to support the child and his or her parent, or the young person, in order to facilitate the development of the child or young person and to help him or her achieve the best possible educational and other outcomes."",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""exercising a function under this Part in the case of a child or young person"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/19""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/49"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/36""
  ]
}","[
  ""section-19""
]"
"IT IS OBLIGATORY
FOR a local authority in England
TO exercise its functions with a view to securing that it identifies—
(a) all the children and young people in its area who have or may have special educational needs, and
(b) all the children and young people in its area who have a disability.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/22"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a local authority in England"",
  ""to"": ""exercise its functions with a view to securing that it identifies— (a) all the children and young people in its area who have or may have special educational needs, and (b) all the children and young people in its area who have a disability."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/27"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/30""
  ]
}","[
  ""section-22""
]"
"IT IS OBLIGATORY
FOR an integrated care board, NHS trust or NHS foundation trust
TO (a) inform the child's parent of their opinion and of their duty under subsection (3), and
(b) give the child's parent an opportunity to discuss their opinion with an officer of the board or trust.
WHEN/IF/WHERE, in the course of exercising functions in relation to a child who is under compulsory school age, the board or trust form the opinion that the child has (or probably has) special educational needs or a disability.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/23"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""an integrated care board, NHS trust or NHS foundation trust"",
  ""to"": ""(a) inform the child's parent of their opinion and of their duty under subsection (3), and (b) give the child's parent an opportunity to discuss their opinion with an officer of the board or trust."",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": "", in the course of exercising functions in relation to a child who is under compulsory school age, the board or trust form the opinion that the child has (or probably has) special educational needs or a disability."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/23""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/28"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/31""
  ]
}","[
  ""section-23""
]"
"IT IS OBLIGATORY
FOR an integrated care board, NHS trust or NHS foundation trust
TO bring their opinion that the child has (or probably has) special educational needs or a disability to the attention of the appropriate local authority in England
WHEN/IF/WHERE, in the course of exercising functions in relation to a child who is under compulsory school age, the board or trust form the opinion that the child has (or probably has) special educational needs or a disability.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/23"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""an integrated care board, NHS trust or NHS foundation trust"",
  ""to"": ""bring their opinion that the child has (or probably has) special educational needs or a disability to the attention of the appropriate local authority in England"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": "", in the course of exercising functions in relation to a child who is under compulsory school age, the board or trust form the opinion that the child has (or probably has) special educational needs or a disability."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/23""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/27"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/25""
  ]
}","[
  ""section-23""
]"
"IT IS OBLIGATORY
FOR an integrated care board, NHS trust or NHS foundation trust
TO inform the child's parent of a particular voluntary organisation likely to be able to give advice or assistance in connection with any special educational needs or disability the child may have
WHEN/IF/WHERE, in the course of exercising functions in relation to a child who is under compulsory school age, the board or trust form the opinion that the child has (or probably has) special educational needs or a disability.
WHEN/IF/WHERE the board or trust think a particular voluntary organisation is likely to be able to give the parent that.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/23"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""an integrated care board, NHS trust or NHS foundation trust"",
  ""to"": ""inform the child's parent of a particular voluntary organisation likely to be able to give advice or assistance in connection with any special educational needs or disability the child may have"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": "", in the course of exercising functions in relation to a child who is under compulsory school age, the board or trust form the opinion that the child has (or probably has) special educational needs or a disability."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/23""
    },
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""the board or trust think a particular voluntary organisation is likely to be able to give the parent that."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/23""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/28"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/27""
  ]
}","[
  ""section-23""
]"
"IT IS OBLIGATORY
FOR a local authority in England
TO exercise its functions under this Part with a view to ensuring the integration of educational provision and training provision with health care provision and social care provision
WHEN/IF/WHERE it thinks that this would—
(a) promote the well-being of children or young people in its area who have special educational needs or a disability, or
(b) improve the quality of special educational provision—
(i) made in its area for children or young people who have special educational needs, or
(ii) made outside its area for children or young people for whom it is responsible who have special educational needs.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/25"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a local authority in England"",
  ""to"": ""exercise its functions under this Part with a view to ensuring the integration of educational provision and training provision with health care provision and social care provision"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""it thinks that this would— (a) promote the well-being of children or young people in its area who have special educational needs or a disability, or (b) improve the quality of special educational provision— (i) made in its area for children or young people who have special educational needs, or (ii) made outside its area for children or young people for whom it is responsible who have special educational needs."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/25""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/27"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/30""
  ]
}","[
  ""section-25""
]"
"IT IS OBLIGATORY
FOR a local authority in England and its partner commissioning bodies
TO make arrangements (“joint commissioning arrangements”) about the education, health and care provision to be secured for—
(a) children and young people for whom the authority is responsible who have special educational needs, and
(b) children and young people in the authority's area who have a disability.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/26"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a local authority in England and its partner commissioning bodies"",
  ""to"": ""make arrangements (“joint commissioning arrangements”) about the education, health and care provision to be secured for— (a) children and young people for whom the authority is responsible who have special educational needs, and (b) children and young people in the authority's area who have a disability."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/28"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/27""
  ]
}","[
  ""section-26""
]"
"IT IS OBLIGATORY
FOR Joint commissioning arrangements
TO include arrangements for considering and agreeing—
(a) the education, health and care provision reasonably required by—
(i) the learning difficulties and disabilities which result in the children and young people within subsection (1)(a) having special educational needs, and
(ii) the disabilities of the children and young people within subsection (1)(b);
(b) what education, health and care provision is to be secured;
(c) by whom education, health and care provision is to be secured;
(d) what advice and information is to be provided about education, health and care provision;
(e) by whom, to whom and how such advice and information is to be provided;
(f) how complaints about education, health and care provision may be made and are to be dealt with;
(g) procedures for ensuring that disputes between the parties to the joint commissioning arrangements are resolved as quickly as possible.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/26"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""Joint commissioning arrangements"",
  ""to"": ""include arrangements for considering and agreeing— (a) the education, health and care provision reasonably required by— (i) the learning difficulties and disabilities which result in the children and young people within subsection (1)(a) having special educational needs, and (ii) the disabilities of the children and young people within subsection (1)(b); (b) what education, health and care provision is to be secured; (c) by whom education, health and care provision is to be secured; (d) what advice and information is to be provided about education, health and care provision; (e) by whom, to whom and how such advice and information is to be provided; (f) how complaints about education, health and care provision may be made and are to be dealt with; (g) procedures for ensuring that disputes between the parties to the joint commissioning arrangements are resolved as quickly as possible."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/37"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/30""
  ]
}","[
  ""section-26""
]"
"IT IS OBLIGATORY
FOR Joint commissioning arrangements about securing education, health and care provision
TO in particular include arrangements for—
(a) securing EHC needs assessments;
(b) securing the education, health and care provision specified in EHC plans;
(c) agreeing personal budgets under section 49.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/26"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""Joint commissioning arrangements about securing education, health and care provision"",
  ""to"": ""in particular include arrangements for— (a) securing EHC needs assessments; (b) securing the education, health and care provision specified in EHC plans; (c) agreeing personal budgets under section 49."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/30"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/36""
  ]
}","[
  ""section-26""
]"
"IT IS PERMITTED
FOR Joint commissioning arrangements
TO also include other provision.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/26"",
  ""type"": ""PERMITTED"",
  ""for"": ""Joint commissioning arrangements"",
  ""to"": ""also include other provision."",
  ""conditions"": [],
  ""_alt_section_urls"": []
}","[
  ""section-26""
]"
