legislation_id,annotations
1989_41_section-1,"[{""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1"", ""type"": ""OBLIGATORY"", ""for"": ""the child’s welfare"", ""to"": ""be the court’s paramount consideration"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""a court determines any question with respect to— (a) the upbringing of a child; or (b) the administration of a child’s property or the application of any income arising from it"", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1"", ""type"": ""OBLIGATORY"", ""for"": ""the court"", ""to"": ""have regard to the general principle that any delay in determining the question is likely to prejudice the welfare of the child"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""any question with respect to the upbringing of a child arises in any proceedings."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1"", ""type"": ""OBLIGATORY"", ""for"": ""the court"", ""to"": ""have to regard the welfare checklist factors in paragraphs (a) to (g) of section 1(3)"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""the court is considering whether to make, vary, or discharge a section 8 order and that action is opposed by any party to the proceedings"", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""}, {""type"": ""UNLESS"", ""text"": ""the court is not taking into consideration whether to vary, make, or discharge a special guardianship order or an order under Part IV of the Act."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1"", ""type"": ""OBLIGATORY"", ""for"": ""a court"", ""to"": ""have regard in particular to— (a) the ascertainable wishes and feelings of the child concerned (considered in the light of his age and understanding); (b) his physical, emotional and educational needs; (c) the likely effect on him of any change in his circumstances; (d) his age, sex, background and any characteristics of his which the court considers relevant; (e) any harm which he has suffered or is at risk of suffering; (f) how capable each of his parents, and any other person in relation to whom the court considers the question to be relevant, is of meeting his needs; (g) the range of powers available to the court under this Act in the proceedings in question"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""the circumstances mentioned in subsection (4) occur."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1"", ""type"": ""PROHIBITED"", ""for"": ""a court"", ""to"": ""make the order or any of the orders"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""the court is considering whether or not to make one or more orders under this Act with respect to a child"", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""}, {""type"": ""UNLESS"", ""text"": ""it considers that doing so would be better for the child than making no order at all."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""}]}]"
1989_41_section-10,"[{""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10"", ""type"": ""PERMITTED"", ""for"": ""a court"", ""to"": ""in any family proceedings in which a question arises with respect to the welfare of any child, make a section 8 order with respect to the child"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""(a) an application for the order has been made by a person who—(i) is entitled to apply for a section 8 order with respect to the child; or (ii) has obtained the leave of the court to make the application; or (b) the court considers that the order should be made even though no such application has been made"", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10""}, {""type"": ""SUBJECT TO"", ""text"": ""the restrictions in section 9."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10"", ""type"": ""PERMITTED"", ""for"": ""a court"", ""to"": ""make a section 8 order with respect to any child on the application of a person who— (a) is entitled to apply for a section 8 order with respect to the child; or (b) has obtained the leave of the court to make the application"", ""conditions"": [{""type"": ""SUBJECT TO"", ""text"": ""the restrictions in section 9."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10"", ""type"": ""PERMITTED"", ""for"": ""(a) any party to a marriage (whether or not subsisting) in relation to whom the child is a child of the family;"", ""to"": ""to apply for a child arrangements order with respect to the child."", ""conditions"": []}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10"", ""type"": ""PERMITTED"", ""for"": ""a local authority foster parent"", ""to"": ""apply for a child arrangements order relating only to with whom the child is to live and when the child is to live with any person"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""the child has lived with the foster parent for at least one year immediately preceding the application."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10"", ""type"": ""PERMITTED"", ""for"": ""a relative of a child"", ""to"": ""apply for a child arrangements order relating only to with whom the child is to live and when the child is to live with any person"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""the child has lived with the relative for at least one year immediately preceding the application."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10"", ""type"": ""PERMITTED"", ""for"": ""A person who would not otherwise be entitled (under the previous provisions of this section) to apply for the variation or discharge of a section 8 order"", ""to"": ""apply for its variation or discharge"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""(a) the order was made on his application; or (b) in the case of a child arrangements order, he is named in provisions of the order regulating arrangements relating to— (i) with whom the child concerned is to spend time or otherwise have contact, or (ii) when the child is to spend time or otherwise have contact with any person."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10"", ""type"": ""PERMITTED"", ""for"": ""Any person who falls within a category of person prescribed by rules of court"", ""to"": ""apply for any such section 8 order as may be prescribed in relation to that category of person."", ""conditions"": []}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10"", ""type"": ""PERMITTED"", ""for"": ""an application for a child arrangements order to which subsection (7B) applies"", ""to"": ""be made with respect to him"", ""conditions"": [{""type"": ""ONLY IF"", ""text"": ""apart from this subsection the leave of the court is not required, with such leave"", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10""}, {""type"": ""WHEN/IF/WHERE"", ""text"": ""a special guardianship order is in force with respect to the child."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10"", ""type"": ""PERMITTED"", ""for"": ""the court"", ""to"": ""grant leave"", ""conditions"": [{""type"": ""ONLY IF"", ""text"": ""it is satisfied that he has sufficient understanding to make the proposed application for the section 8 order"", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10""}, {""type"": ""WHEN/IF/WHERE"", ""text"": ""the person applying for leave to make an application for a section 8 order is the child concerned"", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10"", ""type"": ""OBLIGATORY"", ""for"": ""the court"", ""to"": ""have particular regard to— (a) the nature of the proposed application for the section 8 order; (b) the applicant’s connection with the child; (c) any risk there might be of that proposed application disrupting the child’s life to such an extent that he would be harmed by it; and (d) where the child is being looked after by a local authority— (i) the authority’s plans for the child’s future; and (ii) the wishes and feelings of the child’s parents"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""the person applying for leave to make an application for a section 8 order is not the child concerned"", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10""}, {""type"": ""WHEN/IF/WHERE"", ""text"": ""deciding whether or not to grant leave."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10"", ""type"": ""PERMITTED"", ""for"": ""The period of three years mentioned in subsection (5)(b)"", ""to"": ""not be continuous"", ""conditions"": []}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/10"", ""type"": ""PROHIBITED"", ""for"": ""The period of three years mentioned in subsection (5)(b)"", ""to"": ""have begun more than five years before, or ended more than three months before, the making of the application."", ""conditions"": []}]"
1989_41_section-100,"[{""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/100"", ""type"": ""PROHIBITED"", ""for"": ""a court"", ""to"": ""exercise the High Court’s inherent jurisdiction with respect to children, (a)so as to require a child to be placed in the care, or put under the supervision, of a local authority, (b)so as to require a child to be accommodated by or on behalf of a local authority, (c)so as to make a child who is the subject of a care order a ward of court, or (d)for the purpose of conferring on any local authority power to determine any question which has arisen, or which may arise, in connection with any aspect of parental responsibility for a child."", ""conditions"": []}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/100"", ""type"": ""PROHIBITED"", ""for"": ""any application for any exercise of the court’s inherent jurisdiction with respect to children"", ""to"": ""be made by a local authority"", ""conditions"": [{""type"": ""UNLESS"", ""text"": ""the authority have obtained the leave of the court."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/100""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/100"", ""type"": ""PERMITTED"", ""for"": ""the court"", ""to"": ""grant leave"", ""conditions"": [{""type"": ""ONLY IF"", ""text"": ""it is satisfied that, (a)the result which the authority wish to achieve could not be achieved through the making of any order of a kind to which subsection (5) applies, and (b)there is reasonable cause to believe that if the court’s inherent jurisdiction is not exercised with respect to the child he is likely to suffer significant harm."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/100""}]}]"
1989_41_section-101,"[{""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/101"", ""type"": ""PERMITTED"", ""for"": ""the Secretary of State"", ""to"": ""make regulations providing (a)for prescribed orders which (i)are made by a court in Northern Ireland, and (ii)appear to the Secretary of State to correspond in their effect to orders which may be made under any provision of this Act, to have effect in prescribed circumstances, for prescribed purposes of this Act, as if they were orders of a prescribed kind made under this Act, (b)for prescribed orders which (i)are made by a court in England and Wales, and (ii)appear to the Secretary of State to correspond in their effect to orders which may be made under any provision in force in Northern Ireland, to have effect in prescribed circumstances, for prescribed purposes of the law of Northern Ireland, as if they were orders of a prescribed kind made in Northern Ireland."", ""conditions"": []}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/101"", ""type"": ""PERMITTED"", ""for"": ""regulations under subsection (1)"", ""to"": ""provide for the order concerned to cease to have effect for the purposes of the law of Northern Ireland, or (as the case may be) the law of England and Wales"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""prescribed conditions are satisfied."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/101""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/101"", ""type"": ""OBLIGATORY"", ""for"": ""the Secretary of State"", ""to"": ""make regulations providing for prescribed orders which, (a)are made by a court in the Isle of Man or in any of the Channel Islands, and (b)appear to the Secretary of State to correspond in their effect to orders which may be made under this Act, to have effect in prescribed circumstances for prescribed purposes of this Act, as if they were orders of a prescribed kind made under this Act."", ""conditions"": []}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/101"", ""type"": ""PERMITTED"", ""for"": ""any regulation made under this section"", ""to"": ""(a)make such consequential amendments (including repeals) in, (i)section 25 of the Children and Young Persons Act 1969 (transfers between England and Wales and Northern Ireland) or (ii)section 26 (transfers between England and Wales and Channel Islands or Isle of Man) of that Act, as the Secretary of State considers necessary or expedient, and (b)modify any provision of this Act, in its application (by virtue of the regulations) in relation to an order made otherwise than in England and Wales."", ""conditions"": []}]"
1989_41_section-102,"[{""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/102"", ""type"": ""PERMITTED"", ""for"": ""the court"", ""to"": ""issue a warrant authorising any constable to assist that person in the exercise of those powers, using reasonable force if necessary"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""on an application made by any person for a warrant under this section, it appears to the court, (a)that a person attempting to exercise powers under any enactment mentioned in subsection (6) has been prevented from doing so by being refused entry to the premises concerned or refused access to the child concerned or (b)that any such person is likely to be so prevented from exercising any such powers."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/102""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/102"", ""type"": ""OBLIGATORY"", ""for"": ""every warrant issued under this section"", ""to"": ""be addressed to, and executed by, a constable who shall be accompanied by the person applying for the warrant"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""(a)that person so desires, and (b)the court by whom the warrant is issued does not direct otherwise."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/102""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/102"", ""type"": ""PERMITTED"", ""for"": ""a court granting an application for a warrant under this section"", ""to"": ""direct that the constable concerned may, in executing the warrant, be accompanied by a registered medical practitioner, registered nurse or registered midwife if he so chooses."", ""conditions"": []}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/102"", ""type"": ""OBLIGATORY"", ""for"": ""an application for a warrant under this section"", ""to"": ""be made in the manner and form prescribed by the rules of court."", ""conditions"": []}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/102"", ""type"": ""OBLIGATORY"", ""for"": ""the application and any warrant granted on the application"", ""to"": ""name the child"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""(a)an application for a warrant under this section relates to a particular child, and (b)it is reasonably practicable to do so,"", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/102""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/102"", ""type"": ""OBLIGATORY"", ""for"": ""the application and any warrant granted on the application"", ""to"": ""describe the child as clearly as possible"", ""conditions"": [{""type"": ""WHEN/IF/WHERE"", ""text"": ""it does not name him"", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/102""}, {""type"": ""WHEN/IF/WHERE"", ""text"": ""(a)an application for a warrant under this section relates to a particular child, and (b)it is reasonably practicable to do so,"", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/102""}]}]"
1989_41_section-104,"[{""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/104"", ""type"": ""OBLIGATORY"", ""for"": ""any power of the Lord Chancellor , the Treasury , the Secretary of State or the National Assembly for Wales under this Act to make an order, regulations, or rules, except an order under section 54(2), 56(4)(a), 57(3), 84 or 97(4) or paragraph 1(1) of Schedule 4"", ""to"": ""be exercisable by statutory instrument."", ""conditions"": []}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/104"", ""type"": ""PROHIBITED"", ""for"": ""an order under section 4(1B) , 4ZA(3)"", ""to"": ""be made"", ""conditions"": [{""type"": ""UNLESS"", ""text"": ""a draft of it has been laid before, and approved by a resolution of, each House of Parliament"", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/104""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/104"", ""type"": ""PROHIBITED"", ""for"": ""an order under section 4(1B) , 4ZA(3) or 17(4) or regulations which fall within subsection (3AA), (3AB), (3B) , (3BA) , (3BB) or (3C)"", ""to"": ""be made by the Secretary of State"", ""conditions"": [{""type"": ""UNLESS"", ""text"": ""a draft of the statutory instrument containing the order or regulations has been laid before, and approved by a resolution of, each House of Parliament."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/104""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/104"", ""type"": ""PERMITTED"", ""for"": ""any statutory instrument made under this Act"", ""to"": ""(a)make different provision for different cases (b)provide for exemptions from any of its provisions; and (c)contain incidental, supplemental and transitional provisions."", ""conditions"": []}]"
1989_41_section-104A,"[{""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/104A"", ""type"": ""OBLIGATORY"", ""for"": ""any power of the Welsh Ministers under section 31A or Part 7 to make regulations"", ""to"": ""be exercisable by statutory instrument."", ""conditions"": []}]"
1989_41_section-105,"[{""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/80"", ""type"": ""PERMITTED"", ""for"": ""any person inspecting any home or other premises under this section"", ""to"": ""— (a) inspect the children there; and (b) make such examination into the state and management of the home or premises and the treatment of the children there as he thinks fit"", ""conditions"": [{""type"": ""UNLESS"", ""text"": ""(a) the Appropriate National Authority is the Welsh Ministers; and (b) the inspection relates to a private children’s home or a care home (see, instead the Regulation and Inspection of Social Care (Wales) Act 2016 (anaw 2))."", ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/105""}]}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/105"", ""type"": ""OBLIGATORY"", ""for"": ""any notice or other document required under this Act to be served on any person"", ""to"": ""be served on any person may be served on him by being delivered personally to him, or being sent by post to him in a registered letter or by the recorded delivery service at his proper address."", ""conditions"": []}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/105"", ""type"": ""OBLIGATORY"", ""for"": ""any notice or other document required to be served on a body corporate or a firm"", ""to"": ""be served on the secretary or clerk of that body, or on a partner of that firm."", ""conditions"": []}]"
1989_41_section-106,"[{""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/106"", ""type"": ""OBLIGATORY"", ""for"": ""any (a)grants made by the Secretary of State under this Act and (b)any other expenses incurred by the Secretary of State under this Act,"", ""to"": ""be payable out of money provided by Parliament."", ""conditions"": []}, {""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/106"", ""type"": ""OBLIGATORY"", ""for"": ""any sums received by the Secretary of State under section 58, or by way of the repayment of any grant made under section 82(2) or (4)"", ""to"": ""be paid into the Consolidated Fund."", ""conditions"": []}]"
1989_41_section-107,"[{""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/107"", ""type"": ""PERMITTED"", ""for"": ""Her Majesty"", ""to"": ""by Order in Council direct that any of the provisions of this Act shall extend to any of the Channel Islands with such exceptions and modifications as may be specified in the Order."", ""conditions"": []}]"
